frac_train,seed,run_id,n_points,r2
0.1,1,gtzml1a7,2000,0.99999999999999
0.1,2,re59iszz,2000,0.9999999999999896
0.1,4,sjprol26,2000,0.99999999999999
0.15,0,5psntizn,2000,0.9999999999999898
0.15,1,w7dd715i,2000,0.9999999999999902
0.15,3,nphd333k,2000,0.9999999999999913
0.15,4,f1t7iha1,2000,0.9999999999999891
0.2,0,qf82q3zf,2000,0.9999999999999893
0.2,1,4c0oef2i,2000,0.9999999999999865
0.2,2,f4haf14w,2000,0.9999999999999887
0.2,3,q517zd0w,2000,0.9999999999999902
0.2,4,zdjamxx9,2000,0.9999999999999867
0.25,0,pqvktidt,2000,0.9999999999999791
0.25,1,va4nzzm2,2000,0.9999999999998965
0.25,2,hpg09c2a,2000,0.9999999999998417
0.25,3,z4jbbk52,2000,0.9999999999999427
0.25,4,5ydujx1i,2000,0.99999999999994
0.3,0,af5wx9g5,2000,0.9999999999985061
0.3,1,z787eo74,2000,0.9999999999988813
0.3,2,gxzm9v0p,2000,0.9999999999983302
0.3,3,6ge1pocx,2000,0.9999999999985827
0.3,4,y3ptfjcg,2000,0.9999999999972573
0.4,0,zm1tlj9z,2000,0.999999999993824
0.4,1,gpjsxowv,2000,0.9999999999942464
0.4,2,wwz72dj8,2000,0.9999999999996718
0.4,3,pkzl69fz,2000,0.9999999999927796
0.4,4,g5g3oc64,2000,0.9999999999970923
0.5,0,jzpankrr,2000,0.9999999999993099
0.5,3,hb4qeh09,2000,0.9999999999926348
0.5,4,7xvadqfd,2000,0.9999999999905533
