index,frac_train,r2_mean,r2_std,n,ci95
0,0.1,0.9999999999999899,2.482534153247273e-16,3,2.946368199990184e-16
1,0.15,0.9999999999999901,9.332919779905611e-16,4,9.232143657060596e-16
2,0.2,0.9999999999999882,1.6569869428328166e-15,5,1.4532279113341956e-15
3,0.25,0.9999999999999201,5.268022875417017e-14,5,4.617148786326534e-14
4,0.3,0.9999999999983116,6.22079295913284e-13,5,5.452537096341701e-13
5,0.4,0.9999999999955229,2.8159511401343285e-12,5,2.4682835782087767e-12
6,0.5,0.999999999994166,4.574688144085429e-12,3,5.176746965634771e-12
